"panel","wave","date","e_home","e_school","e_work","e_other"
"F",7,2020-11-04,2,0,0,0
"F",7,2020-11-04,3,4,0,0
"F",7,2020-11-04,0,0,0,0
"F",7,2020-11-04,4,0,0,0
"F",7,2020-11-08,2,0,0,0
"F",7,2020-11-04,6,0,0,3
"F",7,2020-11-07,3,0,0,0
"F",7,2020-11-05,2,0,0,0
"F",7,2020-11-04,2,5,0,4
"F",7,2020-11-04,1,0,0,0
"F",7,2020-11-09,2,2,0,2
"F",7,2020-11-05,2,33,0,33
"F",7,2020-11-05,3,1,0,0
"F",7,2020-11-08,3,0,0,0
"F",7,2020-11-04,3,1,0,0
"F",7,2020-11-04,4,14,0,18
"F",7,2020-11-08,2,0,0,0
"F",7,2020-11-05,3,0,0,0
"F",7,2020-11-05,4,16,0,1
"F",7,2020-11-06,3,0,0,0
"F",7,2020-11-04,7,1,0,0
"F",7,2020-11-05,2,1,0,0
"F",7,2020-11-05,3,0,0,0
"F",7,2020-11-09,3,26,0,15
"F",7,2020-11-04,3,0,0,0
"F",7,2020-11-04,3,3,0,0
"F",7,2020-11-04,2,36,0,0
"F",7,2020-11-05,3,0,0,0
"F",7,2020-11-06,0,0,0,3
"F",7,2020-11-06,3,2,0,0
"F",7,2020-11-05,3,2,0,0
"F",7,2020-11-05,2,0,0,2
"F",7,2020-11-05,2,0,0,0
"F",7,2020-11-04,2,0,0,1
"F",7,2020-11-04,1,4,0,0
"F",7,2020-11-05,1,0,0,1
"F",7,2020-11-05,4,25,0,0
"F",7,2020-11-05,3,0,0,0
"F",7,2020-11-07,2,0,0,0
"F",7,2020-11-05,2,0,0,0
"F",7,2020-11-06,2,0,0,0
"F",7,2020-11-07,3,0,0,0
"F",7,2020-11-05,3,0,0,0
"F",7,2020-11-08,4,52,0,50
"F",7,2020-11-04,3,2,0,0
"F",7,2020-11-04,2,16,0,0
"F",7,2020-11-05,3,0,0,0
"F",7,2020-11-04,2,0,0,0
"F",7,2020-11-08,2,0,0,0
"F",7,2020-11-05,2,3,0,0
"F",7,2020-11-06,3,1,0,0
"F",7,2020-11-05,3,1,0,2
"F",7,2020-11-04,1,2,0,0
"F",7,2020-11-04,2,0,0,0
"F",7,2020-11-05,2,0,0,0
"F",7,2020-11-04,0,0,0,3
"F",7,2020-11-05,3,0,0,0
"F",7,2020-11-05,2,0,0,0
"F",7,2020-11-04,3,37,0,12
"F",7,2020-11-08,2,0,0,0
"F",7,2020-11-08,4,0,0,3
"F",7,2020-11-05,2,29,0,6
"F",7,2020-11-04,2,0,0,1
"F",7,2020-11-05,3,2,0,0
"F",7,2020-11-08,3,0,0,0
"F",7,2020-11-05,4,0,0,0
"F",7,2020-11-04,2,31,0,5
"F",7,2020-11-04,3,7,0,0
"F",7,2020-11-04,3,32,0,31
"F",7,2020-11-06,1,0,0,0
"F",7,2020-11-05,3,0,0,2
"F",7,2020-11-05,2,33,0,1
"F",7,2020-11-07,3,0,0,0
"F",7,2020-11-05,2,0,0,0
"F",7,2020-11-08,3,0,0,0
"F",7,2020-11-08,4,0,0,0
"F",7,2020-11-04,3,2,0,2
"F",7,2020-11-04,3,0,0,0
"F",7,2020-11-05,1,23,0,23
