"iso_a3","exports_mid","exports_low","exports_high","incidence_mid","incidence_low","incidence_high","month","variant"
"SRB",46.0231801760986,42.8988667577162,50.5556449672204,2008.09092853614,1953.98548272939,2059.08344437891,"january",TRUE
"SVK",289.946035109421,270.262860573612,318.500563293489,9201.6040570098,7363.89804297903,11686.2624283628,"january",TRUE
"SVN",23.0115900880493,21.4494333788581,25.2778224836102,5287.53675664529,3428.98061641869,6480.66562158035,"january",TRUE
"SWE",464.834119778596,433.278554252933,510.612014168926,6905.20290164092,6603.94474400048,7271.55381877141,"january",TRUE
"THA",46.0231801760986,42.8988667577162,50.5556449672204,693.547477539232,629.258409657586,2836.39096899597,"january",TRUE
"TUR",773.189426958457,720.700961529632,849.334835449303,11205.0454966378,8671.35032512196,70370.4505700625,"january",TRUE
"UKR",266.934445021372,248.813427194754,293.222740809879,6340.15559084881,5781.47944636426,9902.40567635283,"january",TRUE
"USA",5071.75445540607,4727.45511670033,5571.2320753877,217735.975780915,200523.271553875,350708.611911881,"january",TRUE
"ZAF",96.6486783698072,90.087620191204,106.166854431163,45866.3477895909,40320.2910779633,53094.9582579725,"january",TRUE
"ARE",0,0,0,3369.21144644876,3139.86219895128,3767.96981080938,"february",FALSE
"AUT",0,0,0,3356.70257870148,1608.64285714286,5316.10056373302,"february",FALSE
"BEL",0,0,0,2409.80341200665,2191.35714285714,64784.0810069979,"february",FALSE
"BGD",0,0,0,451.884112414594,395.607142857143,494.911098288408,"february",FALSE
"BGR",0,0,0,3191.87328695661,2877.2619334195,3582.62480965017,"february",FALSE
"BHR",0,0,0,710.191774092448,690.607142857143,798.713752437809,"february",FALSE
"BLR",0,0,0,1470.01046223699,1396.6956691629,1538.94937682645,"february",FALSE
"BMU",0,0,0,NA,NA,NA,"february",FALSE
"BRB",0,0,0,54.8898047202929,54.3933293216178,57.3105978591319,"february",FALSE
"BRN",0,0,0,0.261373077199218,0.225056216735529,0.311229558881861,"february",FALSE
"CAN",0,0,0,NA,NA,NA,"february",FALSE
"CHE",0,0,0,1478.28008213059,1200.42857142857,5102.57987724174,"february",FALSE
"CHN",0,0,0,NA,NA,NA,"february",FALSE
"CYP",0,0,0,144.206192003531,136.821428571429,161.519735837786,"february",FALSE
"CZE",0,0,0,18529.0235542888,16741.1941282803,20934.2428121801,"february",FALSE
"DEU",0,0,0,130143.675122359,95100.4060323547,142396.974655102,"february",FALSE
"DNK",0,0,0,469.101724461364,454.535714285714,559.276213447879,"february",FALSE
"DZA",0,0,0,211.309415047194,205.875353289924,442.192663028877,"february",FALSE
"ESP",0,0,0,19095.4196209438,16054.8230697676,28865.9464552223,"february",FALSE
"EST",0,0,0,832.433870876019,811.300265569665,857.55396739644,"february",FALSE
"FIN",0,0,0,574.502761411145,548.38394657642,611.993893988682,"february",FALSE
"FRA",0,0,0,37763.887582468,22349.6051403205,73843.4970602975,"february",FALSE
"GBR",NA,NA,NA,NA,NA,NA,"february",FALSE
"GGY",0,0,0,NA,NA,NA,"february",FALSE
"GRC",0,0,0,3828.69856901132,3414.53927591619,4885.18837832435,"february",FALSE
"HKG",0,0,0,NA,NA,NA,"february",FALSE
"HRV",0,0,0,619.612544896691,549.746592427115,713.141701033837,"february",FALSE
"HUN",0,0,0,5069.56484004853,2179.03571428571,7059.56940217098,"february",FALSE
"IMN",0,0,0,NA,NA,NA,"february",FALSE
"IND",0,0,0,14018.2097070115,12861.9627763758,18209.3149902674,"february",FALSE
"IRL",0,0,0,823.362848457263,823.035714343772,823.079410778147,"february",FALSE
"ISL",0,0,0,1.76898177978111,1.67875820842484,1.96134030495344,"february",FALSE
"ISR",0,0,0,5170.38974898828,4980.12992822922,5707.08695700476,"february",FALSE
"ITA",0,0,0,14374.3617409118,14288.9633680176,14355.9425360966,"february",FALSE
"JEY",0,0,0,NA,NA,NA,"february",FALSE
"JOR",0,0,0,2921.4976738412,2315.20066977009,3246.34550243904,"february",FALSE
"JPN",0,0,0,1696.46078189991,1672.07689916018,1704.37951528518,"february",FALSE
"KAZ",0,0,0,1490.18800386285,1383.39653769977,2043.16619479885,"february",FALSE
"KEN",0,0,0,197.301102427141,185.816757643523,354.51724811854,"february",FALSE
"KOR",0,0,0,542.39989373382,474.722944243858,621.374173049617,"february",FALSE
"LBN",0,0,0,4683.38934430838,4121.51329498425,5456.99162842099,"february",FALSE
"LCA",0,0,0,83.7079446052773,78.5038285838385,93.6091053754845,"february",FALSE
"LTU",0,0,0,760.323044496565,696.691947861762,849.416551649189,"february",FALSE
"LUX",0,0,0,170.954933180414,168.642857142857,173.632757269117,"february",FALSE
"LVA",0,0,0,1083.82212413638,977.227436095294,1242.05754180292,"february",FALSE
"MEX",0,0,0,14034.4784832764,7952.78693849768,23353.5718517252,"february",FALSE
"MLT",0,0,0,232.459865919451,215.926740268109,252.835362508333,"february",FALSE
"MYS",0,0,0,3379.79473398248,3086.15299271273,3534.76608534717,"february",FALSE
"NLD",0,0,0,4449.3686992813,4414.0377872009,4484.78478881729,"february",FALSE
"NOR",0,0,0,370.8788793246,339.38018054228,410.204645009568,"february",FALSE
"PAK",0,0,0,2021.95064496582,1811.44955270669,2657.66476266918,"february",FALSE
"PAN",0,0,0,914.443070464655,827.333701584178,1037.42307124493,"february",FALSE
"POL",0,0,0,17641.278676257,15084.0562737934,22018.5256902356,"february",FALSE
"PRI",0,0,0,NA,NA,NA,"february",FALSE
"PRT",0,0,0,8327.88112226814,7277.98087175954,9824.20089287644,"february",FALSE
"QAT",0,0,0,703.442249992775,585.134976229436,1009.55247124015,"february",FALSE
"ROU",0,0,0,4725.58735850381,2616.14777704705,6445.26995908609,"february",FALSE
"RUS",0,0,0,22447.3587276956,19458.7425304243,27409.6534016956,"february",FALSE
"SAU",0,0,0,659.197661803574,547.165744513955,817.128278787319,"february",FALSE
"SEN",0,0,0,549.763356570159,501.453886285091,615.389165516495,"february",FALSE
"SGP",0,0,0,14.3511383413652,14.2857142857144,14.8507420300251,"february",FALSE
"SRB",0,0,0,2376.01162459066,2320.65449823899,2437.63952046897,"february",FALSE
"SVK",0,0,0,10714.743124101,8801.95078670991,13430.7631858457,"february",FALSE
"SVN",0,0,0,2776.32195057346,1788.99274722513,3397.86579687817,"february",FALSE
"SWE",0,0,0,5050.17824470713,4820.43111341437,5328.43689505363,"february",FALSE
"THA",0,0,0,275.195852658976,250.292377676112,1230.64915230344,"february",FALSE
"TUR",0,0,0,10347.2333724873,8004.46428571429,65456.1514058771,"february",FALSE
"UKR",0,0,0,5588.47933153439,5080.81032045086,8821.70768919357,"february",FALSE
"USA",0,0,0,93273.1839575191,85893.7866607616,148276.404034557,"february",FALSE
"ZAF",0,0,0,7899.39667419488,6942.65283899401,9145.73900321561,"february",FALSE
"ARE",244.926039613058,228.299076653385,269.046898856758,3369.21144644876,3139.86219895128,3767.96981080938,"february",TRUE
